sira,score,tipadi,daire,esasno,esasyil,kararno,karartarihi,kaynak_arama,sinyaller,konu,metin_ozet
1034,14.5,A.İ.H.M.,2,17681,2004,,2010-01-26,gebe+illiyet,gebe×1 | travma×4 | illiyet×3 | TCK 87/88,ABDO - TÜRKİYE DAVASI,"(AİHS m. 3, 5, 6, 35, 44) (2709 S. K. m. 143) (765 S. K. m. 102, 125, 243) (WEMHOFF - ALMANYA DAVASI) (MANSUR - TÜRKİYE DAVASI) (ALİ HIDIR POLAT - TÜRKİYE DAVASI) (BALTACI - TÜRKİYE DAVASI) (TEMEL VE TAŞKIN - TÜRKİYE DAVASI) (AKDIVAR VE DİĞERLERİ - TÜRKİYE DAVASI) (ŞÜKRAN AYDIN VE DİĞERLERİ - TÜRKİY"
1035,14.3,Yargıtay,4,7132,2015,5640,2016-04-26,gebe+illiyet,gebe×1 | travma×3 | illiyet×10,YARGITAY KARARI,"MAHKEMESİ:Asliye Hukuk Mahkemesi Davacı ... vekili Avukat ... tarafından, davalı ... aleyhine 02/10/2014 gününde verilen dilekçe ile maddi ve manevi tazminat istenmesi üzerine mahkemece yapılan yargılama sonunda; davanın kısmen kabulüne dair verilen 12/03/2015 günlü kararın Yargıtay’ca incelenmesi d"
1036,14.2,Danıştay,4,1037,2021,1977,2023-04-05,gebe+illiyet,gebe×2 | travma×12 | illiyet×6,DANIŞTAY KARARI,T.C. D A N I Ş T A Y DÖRDÜNCÜ DAİRE Esas No : 2021/1037 KararNo : 2023/1977 TEMYİZ EDEN (DAVALI): ... Vergi Dairesi Başkanlığı (... Vergi Dairesi Müdürlüğü) VEKİLİ: Av. ... KARŞI TARAF (DAVACI): ... VEKİLİ: Av. ... İSTEMİN KONUSU: ... Bölge İdare Mahkemesi ... Vergi Dava Dairesinin ... tarih ve E:..
1037,14.2,Danıştay,4,1036,2021,1975,2023-04-05,gebe+illiyet,gebe×2 | travma×12 | illiyet×6,DANIŞTAY KARARI,T.C. D A N I Ş T A Y DÖRDÜNCÜ DAİRE Esas No : 2021/1036 KararNo : 2023/1975 TEMYİZ EDEN (DAVALI): ... Vergi Dairesi Başkanlığı (... Vergi Dairesi Müdürlüğü) VEKİLİ: Av. ... KARŞI TARAF (DAVACI): ... VEKİLİ: Av. ... İSTEMİN KONUSU: ... Bölge İdare Mahkemesi ... Vergi Dava Dairesinin ... tarih ve E:..
1038,14.2,Danıştay,4,1033,2021,1976,2023-04-05,gebe+illiyet,gebe×2 | travma×12 | illiyet×6,DANIŞTAY KARARI,"T.C. D A N I Ş T A Y DÖRDÜNCÜ DAİRE Esas No : 2021/1033 KararNo : 2023/1976 TEMYİZ EDEN (DAVALI): … Vergi Dairesi Başkanlığı (… Vergi Dairesi Müdürlüğü) VEKİLİ: Av. … KARŞI TARAF (DAVACI): ... VEKİLİ: Av. … İSTEMİN KONUSU: … Bölge İdare Mahkemesi ... Vergi Dava Dairesinin … tarih ve E:…, K:… sayılı "
1039,14.2,Anayasa,1,53214,2021,,2025-05-27,gebe+travma,gebe×52 | travma×2 | TCK 87/88,ANAYASA MAHKEMESİNİN 27/5/2025 TARİHLİ VE 2021/53214 SAYILI KARARI (BİREYSEL BAŞVURU) ,"(2709 S. K. m. 17, 56) (SÜLEYMAN EGE V. - TÜRKİYE DAVASI) (ERYİĞİT - TÜRKİYE DAVASI) (ANY. MAH. 15.10.2015 T. 2013/2084 E.) (ANY. MAH. 17.09.2013 T. 2012/752 E.) (ANY. MAH. 07.11.2013 T. 2012/791 E.) (ANY. MAH. 09.09.2015 T. 2013/1943 E.) (ANY. MAH. 03.04.2014 T. 2013/2839 E.) (ANY. MAH. 20.03.2019 "
1040,14.2,Danıştay,4,3433,2022,2155,2023-04-12,gebe+illiyet,gebe×2 | travma×10 | illiyet×6,DANIŞTAY KARARI,"T.C. D A N I Ş T A Y DÖRDÜNCÜ DAİRE Esas No : 2022/3433 KararNo : 2023/2155 TEMYİZ EDEN (DAVALI):… Vergi Dairesi Başkanlığı (… Vergi Dairesi Müdürlüğü) VEKİLİ: Av. … KARŞI TARAF (DAVACI) : ... VEKİLİ: Av. … İSTEMİN KONUSU: … Bölge İdare Mahkemesi ... Vergi Dava Dairesinin … tarih ve E:…, K:… sayılı "
1041,14.2,Yargıtay,HG,11-649,2018,1659,2021-12-14,gebe+illiyet,gebe×2 | travma×2 | illiyet×30,ALACAK DAVASI - BONONUN KAYBEDİLMESİ NEDENİYLE DAVACI ZARARININ ORTAYA ÇIKMASI DURUMUNDA OLUŞAN ZARARIN DAVALI BANKA TARAFINDAN TAZMİN EDİLMESİ GEREKTİĞİ - DOSYANIN GÖNDERİLMESİ,"(6098 S. K. m. 115, 116) (6102 S. K. m. 18) &nbsp; Dava: 1. Taraflar arasındaki &ldquo;tazminat&rdquo; davasından dolayı yapılan yargılama sonunda; Konya 2. Asliye Ticaret Mahkemesince verilen davanın kabulüne ilişkin karar, davalı banka vekili tarafından temyiz edilmesi üzerine Yargıtay 11. Hukuk D"
1042,14.2,Danıştay,4,3432,2021,1979,2023-04-05,gebe+illiyet,gebe×2 | travma×12 | illiyet×6,DANIŞTAY KARARI,T.C. D A N I Ş T A Y DÖRDÜNCÜ DAİRE Esas No : 2021/3432 KararNo : 2023/1979 TEMYİZ EDEN (DAVALI):... Vergi Dairesi Başkanlığı (... Vergi Dairesi Müdürlüğü) VEKİLİ: Av. ... KARŞI TARAF (DAVACI): ... VEKİLİ: Av. ... İSTEMİN KONUSU: ... Bölge İdare Mahkemesi ... Vergi Dava Dairesinin ... tarih ve E:...
1043,14.2,Danıştay,4,1981,2021,1978,2023-04-05,gebe+illiyet,gebe×2 | travma×12 | illiyet×6,DANIŞTAY KARARI,T.C. D A N I Ş T A Y DÖRDÜNCÜ DAİRE Esas No : 2021/1981 KararNo : 2023/1978 TEMYİZ EDEN (DAVALI): ... Vergi Dairesi Başkanlığı (... Vergi Dairesi Müdürlüğü) VEKİLİ: Av. ... KARŞI TARAF (DAVACI): ... VEKİLİ: Av. ... İSTEMİN KONUSU:... Bölge İdare Mahkemesi ... Vergi Dava Dairesinin ... tarih ve E:...
