"No","Tip","Mahkeme/Daire","Esas","Karar","Tarih","ID (Sinerji)","URL","Anahtar Kelimeler","Snippet"
"205","Danıştay","Daire","2020/4430","2023/5847","2023-10-24","NVFweW9lcDAwTTNQZXpLTURIbFdVOWVtQW96ak1JY3E","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/NVFweW9lcDAwTTNQZXpLTURIbFdVOWVtQW96ak1JY3E","travmatoloji, boğaz","Cerrahi Derneği, Türk Göğüs Cerrahisi Derneği, Türk Jinekoloji ve Obstetrik Derneği, Türk Ortopedi ve Travmatoloji ... Birliği Derneği, Türk Kalp ve Damar Cerrahisi Derneği, Türk Kulak Burun Boğaz ve Baş Boyun Cerrahisi ... Cerrahi Derneği, Türk Göğüs Cerrahisi Derneği, Türk Jinekoloji ve Obstetrik Derneği, Türk Ortopedi ve Travmatoloji ... Birliği Derneği, Türk Kalp ve Damar Cerrahisi Derneği, Türk Kulak Burun Boğaz ve Baş Boyun Cerrahisi"
"206","Danıştay","Daire","2019/11879","2023/5862","2023-10-24","bmV5WUo4YzVLUnhRZmpjQVc0QmpTTUtKRlZtNnh3MXE","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/bmV5WUo4YzVLUnhRZmpjQVc0QmpTTUtKRlZtNnh3MXE","travmatoloji, boğaz","Cerrahi Derneği, Türk Göğüs Cerrahisi Derneği, Türk Jinekoloji ve Obstetrik Derneği, Türk Ortopedi ve Travmatoloji ... Birliği Derneği, Türk Kalp ve Damar Cerrahisi Derneği, Türk Kulak Burun Boğaz ve Baş Boyun Cerrahisi ... Cerrahi Derneği, Türk Göğüs Cerrahisi Derneği, Türk Jinekoloji ve Obstetrik Derneği, Türk Ortopedi ve Travmatoloji ... Birliği Derneği, Türk Kalp ve Damar Cerrahisi Derneği, Türk Kulak Burun Boğaz ve Baş Boyun Cerrahisi"
"207","Danıştay","Daire","2020/4432","2023/5849","2023-10-24","Q3FBZlE5cStzY3lHSDN6Wmx6REIwVzNaWCtWMTN6NHU","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/Q3FBZlE5cStzY3lHSDN6Wmx6REIwVzNaWCtWMTN6NHU","travmatoloji, boğaz","Cerrahi Derneği, Türk Göğüs Cerrahisi Derneği, Türk Jinekoloji ve Obstetrik Derneği, Türk Ortopedi ve Travmatoloji ... Birliği Derneği, Türk Kalp ve Damar Cerrahisi Derneği, Türk Kulak Burun Boğaz ve Baş Boyun Cerrahisi ... Cerrahi Derneği, Türk Göğüs Cerrahisi Derneği, Türk Jinekoloji ve Obstetrik Derneği, Türk Ortopedi ve Travmatoloji ... Birliği Derneği, Türk Kalp ve Damar Cerrahisi Derneği, Türk Kulak Burun Boğaz ve Baş Boyun Cerrahisi ... Cerrahi Derneği, Türk Göğüs Cerrahisi Derneği, Türk "
"208","Danıştay","Daire","2020/4429","2023/5846","2023-10-24","akJGM2VJbnBoSWhzZW9aVWFaQkFhUWU3Tzgxd2Y1c1I","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/akJGM2VJbnBoSWhzZW9aVWFaQkFhUWU3Tzgxd2Y1c1I","travmatoloji, boğaz","Cerrahi Derneği, Türk Göğüs Cerrahisi Derneği, Türk Jinekoloji ve Obstetrik Derneği, Türk Ortopedi ve Travmatoloji ... Birliği Derneği, Türk Kalp ve Damar Cerrahisi Derneği, Türk Kulak Burun Boğaz ve Baş Boyun Cerrahisi"
"209","Yargıtay","Ceza Dairesi","2023/8466","2023/6700","2023-10-24","ekU1N09KSVVmQ2hXNnlLV0diNDYrVzhNZWZEMzB3V2I","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/ekU1N09KSVVmQ2hXNnlLV0diNDYrVzhNZWZEMzB3V2I","travmatik, boğazına","hymenin sağlam olduğu, fiili livata ile uyumlu maddi emarelerin izlendiği, vücudunda herhangi bir taze travmatik ... dışına çıktıklarını, nereye gittiklerini görmediğini, katılanın kendisine 12.06.2022 tarihinde sanığın boğazına"
"210","Yargıtay","Ceza Dairesi","2022/14964","2023/6435","2023-10-23","bVFlSTEwTTR3N1dDRUI0cEYwWHh4M3lDZGZQSjNmWWg","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/bVFlSTEwTTR3N1dDRUI0cEYwWHh4M3lDZGZQSjNmWWg","hamile, travmasına","itibaren kendi istekleri ile birkaç defa cinsel birliktelik yaşadıkları, 2019 yılı Kasım ayı içerisinde hamile ... ilk başta bebeği aldırma kararı aldıklarını fakat bundan vazgeçerek bebeği doğurmaya karar verdiği, hamile ... ; Miadında rahim içi gelişim gösteren bebeğin canlı olarak doğmuş olduğu ve ölümünün genel beden travmasına"
"211","Yargıtay","Ceza Dairesi","2023/1557","2023/6383","2023-10-23","SE1qM0xUNXdkQnNwbE1heHhvMU9KVEJlTnBsYXFKQjc","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/SE1qM0xUNXdkQnNwbE1heHhvMU9KVEJlTnBsYXFKQjc","boğazını, travmasına, travması","gelmez sanığın maktule geç geldiğini söyleyerek onu dövmeye başladığı, evde bulunan hortumla vurduğu, boğazını ... Adlî Tıp İhtisas Kurulu tarafından düzenlenen 28.05.2021 tarihli ; \""Çocuğun ölümünün genel beden travmasına ... bağlı klavikula kırığıyla birlikte yaygın yumuşak doku zedelenmesi, yaygın yumuşak doku travması, yaygın"
"212","Yargıtay","Ceza Dairesi","2023/7195","2023/6566","2023-10-19","amhhS1phNEVrNzY1djdlUE9YQkhVc3VZT1FjQVJxT1A","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/amhhS1phNEVrNzY1djdlUE9YQkhVc3VZT1FjQVJxT1A","hamile, travmatik","ün de çocukken katılan mağdurenin sanığa \""Bir kızın babasından hamile kalmasını istemiyorum\"" şeklinde ... herhangi bir geçimsizliği dosyaya yansımayan katılan mağdurun sosyolojik ve psikolojik açıdan son derece travmatik"
"213","Yargıtay","Ceza Dairesi","2023/2587","2023/7700","2023-10-19","QWhMMUpSaXlsTFR1L0IxZktHbFNzSnV4RFNWa2R0QkU","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/QWhMMUpSaXlsTFR1L0IxZktHbFNzSnV4RFNWa2R0QkU","boğazına, travmatik","ın boğazına bıçak dayadığı ve sürücü koltuğunda bulunan ...'ın kendisine silah çıkartıp ... ... hafif nitelikte olduğu, kemik kırığı tanımlanmadığı, yüz sınırları içerisinde cilt bütünlüğünü bozan travmatik ... ın daveti üzerine rızası ile araca binen katılanı, sanıkların araç içerisinde silah göstermek ve boğazına ... hafif nitelikte olduğu, kemik kırığı tanımlanmadığı, yüz sınırları içerisinde cilt bütünlüğünü bozan travmatik"
"214","Yargıtay","Ceza Dairesi","2020/5458","2023/4139","2023-10-18","dnliMjUrWERWOXlOQ1hzN1pFRE45UW4vUU5HQysxSGE","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/dnliMjUrWERWOXlOQ1hzN1pFRE45UW4vUU5HQysxSGE","travmasına, boğazına, boğazından","2.Konya Cumhuriyet Başsavcılığı tarafından düzenlenen ölü muayene tutanağında şahsın genel beden travmasına ... bağlandığı yere yakın vurarak kaza yaptı, hemen traktörü durdurdum, aşağı indim, musa nefes alıyordu, dili boğazına ... çalıştı, ancak ben ambulans gelene kadar kimsenin müdahale etmesine izin verdim, iki defa dilini de boğazından"
"215","Yargıtay","Ceza Dairesi","2023/4326","2023/4157","2023-10-18","YjdnN3E5WCtZL3E4eTJRMEVvQ2k3VFkzKzZUcnAwMDY","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/YjdnN3E5WCtZL3E4eTJRMEVvQ2k3VFkzKzZUcnAwMDY","travmatik, hamile",".'in künt travmatik yaralanmaya bağlı beyin kanaması sonucu öldüğü, motosiklette yolcu olarak bulunan ... polislerin geldiğini duyması üzerine otomobilden telefonunu alıp kaçtığını, eve gittiğinde kazayı duyan hamile"
"216","Yargıtay","Ceza Dairesi","2023/8011","2023/6453","2023-10-18","QlhzbUZpWk5PU2Rsa1JDYi85MmRSb09Zb2hmd0E3MnA","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/QlhzbUZpWk5PU2Rsa1JDYi85MmRSb09Zb2hmd0E3MnA","boğazına, travmatik","mağdurun ablası ve ... uyuduktan sonra sanık elinde bıçakla mağdurun yanına gelerek ağzını kapatıp boğazına ... geri dönmesi için yazdığını beyan ettiği, Mağdurun alınan doktor raporunda anal muayenesinde travmatik ... ile hile, tehdit veya rıza dışı gibi nedenlerle direncin kırıldığı durumlarda anüsün, anal skinkterde travmatik"
"217","Yargıtay","Ceza Genel Kurulu","2023/398","2023/531","2023-10-18","Z1NURnMwOVMySFo4bzBFamdyYlpRbWtsWFhVWmYrdGE","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/Z1NURnMwOVMySFo4bzBFamdyYlpRbWtsWFhVWmYrdGE","travma, gebertir","tarafından verilen 10/06/2016 tarihli tek hekim raporuna göre mağdurda aktivite ve dikkat bozukluğu, travma ... 10.06.2016 tarihinde katılan mağdur hakkında düzenlenen tek hekim raporunda; aktivite ve dikkat bozukluğu, travma ... 26.05.2016 ve 01.06.2016 tarihlerinde bu olayların yaşandığını, sanığın; \""Annene söyleme yoksa seni gebertir"
"218","Yargıtay","Ceza Genel Kurulu","2022/543","2023/525","2023-10-18","VlRXZWl2MStCMXNINng2S2tQZnJrMmFCWTQ3QTRzcGI","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/VlRXZWl2MStCMXNINng2S2tQZnJrMmFCWTQ3QTRzcGI","boğazımdan, travmaya, boğazını, boğazımı, boğazı","nun 'Bunu yaparken, bana sert davranıp beni kolumdan ve boğazımdan tutup çekiştirdi.' şeklinde bir kurtarma ... kaygısıyla yazılmış olduğununda tereddütsüz şekilde anlaşıldığı, bu itibarla hali hazırda olay sebebiyle travmaya ... ın boğazını sıktığını, olayın tarihinin bir yıl önce yaz mevsiminde olduğunu ancak ayını hatırlamadığını ... ın boğazını sıktığını söylemişti. ... kendisini eğmişken o sırada ... yine boğazımı sıktı diyor. ... Boğazı hangi aşamada sıkılmış.\"" şeklinde soru yöneltmesi üz"
"219","Yargıtay","Hukuk Dairesi","2023/1981","2023/4770","2023-10-17","bnpNcS9XeDkrRXBwUTNUY1Zwbk5iS1paYjhBcit0ZHE","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/bnpNcS9XeDkrRXBwUTNUY1Zwbk5iS1paYjhBcit0ZHE","travma, boğazına","asacağım, öleceğim” şeklinde sözler söylediğini, davalının geçmişte geçirdiği trafik kazası nedeniyle travma ... davalıya evi terk etmesinden kaynaklı kusur izafesi yapılamayacağı, davacı tarafça dayanılan davalının boğazına"
"220","Danıştay","Daire","2019/11734","2023/5659","2023-10-17","YVlRV0hFMWZYZkpGb2dWTWpWSEUrblFiWDVXemt4clo","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/YVlRV0hFMWZYZkpGb2dWTWpWSEUrblFiWDVXemt4clo","boğaz, travmatoloji","Tebliğin 2.4.4.F-2 numaralı maddesinin yedinci fıkrası yönünden, dava konusu düzenlemede kulak burun boğaz ... cerrahisi, fiziksel tıp ve rehabilitasyon, algoloji, deri ve zührevi hastalıkları, romatoloji, ortopedi ve travmatoloji ... sabit doz kombinasyonlarının, üçüncü basamak sağlık kurumlarında düzenlenen romatoloji, ortopedi ve travmatoloji ... anatomik bölgelerine cerrahi uygulanan hastalarla sınırlı olmak üzere istisna getirildiği, kulak burun ve boğaz ... Yine her ne kadar davacı tarafın"
"221","Yargıtay","Ceza Dairesi","2023/18159","2023/13436","2023-10-16","Vk1rUGdGUUo4SDQvdG5nWHEzZml3cFVCVVRPOVkyZys","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/Vk1rUGdGUUo4SDQvdG5nWHEzZml3cFVCVVRPOVkyZys","boğazını, travması","ettiği, mağdurun sanığın bahsettiği poşeti görmediğini söylemesi üzerine sanığın mağduru ittirerek boğazını ... Kafa travması olduğundan 24-48 saat süreyle hayati tehlike mevcuttur....\"" şeklinde bildirildiği anlaşılmış"
