"No","Tip","Mahkeme/Daire","Esas","Karar","Tarih","ID (Sinerji)","URL","Anahtar Kelimeler","Snippet"
"421","Danıştay","Daire","2020/6445","2021/3677","2021-06-29","SExra1RjUGhqU2dnMk8wUFpMMDIzWnpOZHh2VzlERis","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/SExra1RjUGhqU2dnMk8wUFpMMDIzWnpOZHh2VzlERis","travmatik, hamile","ekstremitede(kol) defekt nedeniyle bu değerlendirilmenin yapılamadığı, ölümü üzerine etkili harici travmatik ... (çarpma, vurma, darbe) her hangi bir nedenin tespit edilmediği, kişinin hamile olmadığı, cinsel ilişkiye"
"422","Yargıtay","Ceza Genel Kurulu","2017/412","2021/308","2021-06-24","Uk9YUEdkZ2ZJKzQzR0lRbE8yQkYwTkd0ajVLR2tYc0E","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/Uk9YUEdkZ2ZJKzQzR0lRbE8yQkYwTkd0ajVLR2tYc0E","travma, boğazına, boğazından, gebe","Grup Başkanlığınca düzenlenen 08.10.2013 tarihli otopsi raporunda; maktulün travma bulguları; sol uyluk ... , avradını sinkaf ederim."" dedikten sonra sanığın ensesinden vurup yere düşürdüğünü, üzerine abanıp boğazına ... e kafa atacakken bıçağın boğazına denk geldiğini, bundan sonra maktulün sanığı bıraktığını, sanık ve ... in maktulün kollarını kendisinin boğazından çekmeye çalıştığını, bunun üzerine ...' ... maktulün duymadığını zannettiklerini, tam çıkarken maktulün kendisinin ensesinden tutu"
"423","Yargıtay","Hukuk Dairesi","2020/5809","2021/7071","2021-06-23","QS81QUZpRFE3QlFNMVlnSlI1eVVsZkJtL3VOdEFjVGk","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/QS81QUZpRFE3QlFNMVlnSlI1eVVsZkJtL3VOdEFjVGk","gebe, gebeliğin, travma, travmasına",", bu sebeple kısırlaştırıldığını iddia ettiği, eşinin spermiogram sonuçlarına göre normal yollardan gebe ... rahim ve etrafı) enfeksiyonuna bağlı yapışıklıklar görüldüğü, bu durumda tüp bebek uygulaması dışında gebe ... hasta yaşı (ameliyat esnasında 34 yaşında) ve eşinin sperm sayısı azlığı nedeniyle normal yollardan gebe ... kalma şansının düşük olduğu, yapışıklıkların ayrıştırılması ve tüplerin bağlanmasının gebe kalma şansı ... düşük kişide bir kayıp olmadığı, ayrıca bu uygulamanın oluşabile"
"424","Yargıtay","Ceza Dairesi","2020/164","2021/11082","2021-06-23","c0xsU0I4R3dJcjJ4RXpNcjh1RHJ4Ynl1eXR0WGJ4YWo","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/c0xsU0I4R3dJcjJ4RXpNcjh1RHJ4Ynl1eXR0WGJ4YWo","hamile, travmalar, travmatik","sanıklar ve maktulün aynı ikamette yaklaşık 8 yıl birlikte yaşadıkları, maktulün ikinci çocuklarına hamile ... uzun süre hareketsiz kalma sonucu oluşan çok sayıda bası yaraları ile farklı zamanlarda uğradığı künt travmalar ... Müdürlüğünün 21/06/2013 tarihli raporunda ise ""spastisite ve sfinter kusuruyla seyreden miyelopatik (travmatik"
"425","Anayasa","Bölüm","2018/33554","2021/","2021-06-15","OWlTOUV5ak9EODNJTmI3T2ZpeThOVWh2bnRjc1psWjI","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/OWlTOUV5ak9EODNJTmI3T2ZpeThOVWh2bnRjc1psWjI","hamileliğini, hamileliğinden, travması, geberteceğini, boğazlarını","kendilerinde kalması nedeniyle girdiği bunalım sonucu eşinin dördüncü çocuğu istemeyebileceğini düşünerek hamileliğini ... O.Y. 19/8/2004 tarihinde kolluk görevlilerince alınan ek ifadesinde eşinin hamileliğinden ve doğumdan ... Yapılan otopsi işlemi R.G.nin künt kafa travması sonucu subdural beyin kanamasından öldüğünü ortaya koymuştur ... kendisinin öldürdüğünü beyan eden M.P.nin bu hususu kimseye söylememelerini istediğini ve aksi durumda geberteceğini ... görümcesi ile birlikte aynı evde kal"
"426","Yargıtay","Hukuk Dairesi","2019/1462","2021/3088","2021-06-15","MW1SZzZGSEtjeHJUQXUzZWlScTJnSmMxNTlWNjNnRHE","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/MW1SZzZGSEtjeHJUQXUzZWlScTJnSmMxNTlWNjNnRHE","hamile, travmaya",".'a çarpması sonucu sekiz aylık hamile olan ...'ın karnındaki bebeği ile vefat ettiğini belirterek ... ın %80 oranında kusurlu olduğu, müteveffa yaya ...'ın %20 oranında kusurlu olduğu, müteveffanın hamile ... davalılardan ...'ın kusurunun ağırlığı, destek ile davacıların yaşları, aynı kazada desteğin 8 aylık hamile ... ’ın olay anında desteğin yanında bulunması nedeniyle daha ağır bir travmaya maruz kalması ve sair"
"427","Yargıtay","Ceza Genel Kurulu","2020/420","2021/277","2021-06-15","VXVuYzljdWNxc3Q4KzhCeno2elg4alc0WjBQZVMwUFM","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/VXVuYzljdWNxc3Q4KzhCeno2elg4alc0WjBQZVMwUFM","gebelik, travma, travmalarım, gebe","Fatma Yüksel tarafından yapılan başvuruda, çalıştığı resmi kurumda hastadan para aldığı ve uzun süre gebelik ... kendisini kolundan tutup bodruma çekmeye çalıştığını, kolunu sıyırıp adamdan kurtulduğunu, bu durumun travma ... notlar aldığını, sanığın kendisine öyle çıkınca biraz da merak ettiğini söyleyerek \""Hani sen şimdi travmalarım ... şeyi yanlış anlamadığını, gayet iyi olduğunu, bir sıkıntı bulunmadığını söylediğini, sanığın \""İşte travmalarım ... hastalıkları ve doğum uzmanlığının hem has"
"428","Yargıtay","Ceza Genel Kurulu","2020/165","2021/273","2021-06-10","dSs3ZVJVNXQvb296b2Y5TWVJNTVidjc1Z29pUlpGaC8","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/dSs3ZVJVNXQvb296b2Y5TWVJNTVidjc1Z29pUlpGaC8","gebe, travmatik, boğazından","sürekli zayıflaması, konuşmadaki sürekli zorluk, yüzdeki sabit iz, yaşamı tehlikeye sokan bir durum, gebe ... işlevinin yitirilmesi, konuşma ya da çocuk yapma yeteneklerinin kaybolması, yüzdeki sürekli değişiklik, gebe ... düzenlenen 06.10.2017 tarihli raporda; katılan sanığın kafa kubbe ve kaide kemiklerinde kırık, kafa içi travmatik ... in oturduğu masadan kalkarak sanığın boğazından tuttuğunu, bunu gören inceleme dışı sanık ...'"
"429","Anayasa","Bölüm","2017/35564","2021/","2021-06-09","NGV1UTVIdi92TXJ2WGhsYUxZSm0rRklpY1oydzJ1d0k","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/NGV1UTVIdi92TXJ2WGhsYUxZSm0rRklpY1oydzJ1d0k","boğazına, travmatik","R.B. aynı gün saat 14.45 sıralarında B1.7.24 numaralı odadaki sandalye üzerinde boğazına ip geçirmek ... edilen muayeneye ilişkin sağlık fişinde R.B.nin yakınının baş ve omuz bölgelerindeki ağrıdan söz ettiği, travmatik ... yönünde not düşmüş ancak R.B.nin muayenesine ilişkin kayda R.B.nin baş bölgesinde ağrı tarif ettiğini ve travmatik ... infaz koruma memurlarının fiziki müdahalesine maruz kalan R.B., 12/11/2015 tarihinde sandalye üzerinde boğazına"
"430","Yargıtay","Ceza Genel Kurulu","2019/55","2021/261","2021-06-08","bTZMV1Jva3J6ZFlOV2lULzl2QWpWTTBCdHowaFhOMzk","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/bTZMV1Jva3J6ZFlOV2lULzl2QWpWTTBCdHowaFhOMzk","travmatik, travmasına, hamile","ve birlikte öldürücü nitelikte olmadıkları, vücudunda kesici delici alet yaralanmaları ve yaygın küt travmatik ... lezyonlar bulunan kişinin ölümünün küt kafa travmasına bağlı kafa, yüz ve hyoid kemik kırıklarıyla birlikte ... yakmaya başladığını, bunun üzerine maktul ...’ın başına bir iş geldiğini anlayıp fenalaştığını, 3 aylık hamile ... kullanmadığını sadece maktulle yumruklaştığını, olayın eşi Deniz yüzünden meydana geldiğini, eşinin hamile ... maktulün kanında 75 mg/dl etanol bulunduğu, vüc"
"431","Danıştay","Daire","2021/14095","2021/1912","2021-06-03","MGh0VlN5a1VDNnRUcUhmTjNFTlREbEpPMXcycnNoemw","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/MGh0VlN5a1VDNnRUcUhmTjNFTlREbEpPMXcycnNoemw","boğaz, travmatik","bölgede 3x2 cm'lik ödemli şişlik alan mevcut olduğu, kati raporun beyin cerrahi ve kulak burun boğaz ... verilmesinin uygun olacağı"" hususunun, 29/12/2011 günlü raporunda ise; ""sol kulak zarında posterde travmatik"
"432","Yargıtay","Ceza Genel Kurulu","2019/445","2021/249","2021-06-02","V0JDRTBMMEVlMEtsWitpaDJFRVltNTdyU0VHMjhTTGs","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/V0JDRTBMMEVlMEtsWitpaDJFRVltNTdyU0VHMjhTTGs","travmatik, hamile","Yenimahalle Eğitim ve Araştırma Hastanesince mağdure hakkında düzenlenen rapora göre; harici muayenede travmatik ... şey gelip gelmediğini bilmediğini, kendi arka tarafından beyaz bir sıvı geldiğini, âdet olmadığı için hamile ... olabileceğini düşündüğünü, karnında bir şey yürüdüğünü hissettiğini, bu yüzden de hamile olabileceğinin"
"433","Yargıtay","Ceza Genel Kurulu","2019/576","2021/212","2021-05-25","VzRwNTFBaHNyRjdKS1NUWXlySzlZT0gwUGtyS1FIR20","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/VzRwNTFBaHNyRjdKS1NUWXlySzlZT0gwUGtyS1FIR20","travmatik, boğazını","tek başına ölüm meydana getirir nitelikte olduğu, yüz bölgesinde tespit edilen yumuşak doku seyirli travmatik ... ettiğini bildiği maktulle parkta karşılaştıklarını, maktulün belinde bıçak olduğunu, maktulün Ertuğrul’un boğazını ... maktulün yumruklaşmaya başladıklarını, üç kişi ayırmak için müdahale ettikleri sırada maktulün Ertuğrul'un boğazını"
"434","Danıştay","Daire","2021/1481","2021/2420","2021-05-20","VWNUeDd2b2p2RTRoK1k0cFd0QVJxQkZLZjhtQXg0Nms","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/VWNUeDd2b2p2RTRoK1k0cFd0QVJxQkZLZjhtQXg0Nms","gebe, travmatik, gebeliği, gebelik","nin 27 haftalık ikiz gebe olduğu, kişinin ölümünün patolojik (travmatik olmayan) beyin kanaması ve gelişen ... 2016 tarihinde Urla Devlet Hastanesine bulantı, kusma, başağrısı şikayeti ile getirildiği,...hastanın gebeliği ... nin 27 haftalık ikiz gebe olduğu, 21/09/2016 tarihinde Urla Devlet Hastanesi'ne bulantı, kusma ve başağrısı ... sertliği tespit edilmediği, fizik muayenesi ve biyokimyasal tetkiklerinin istendiği, daha sonra ikiz gebelik ... hareketliliğin her yöne serbest olduğu, tansiyonu"
"435","Anayasa","Bölüm","2018/4619","2021/","2021-05-18","elpLRldmaXFYVlZ0RDRoc0FDcThIdnZkbmhqelhBdHo","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/elpLRldmaXFYVlZ0RDRoc0FDcThIdnZkbmhqelhBdHo","travmatik, hamile, boğazı, gebertirim","Harici muayenede yukarıda tarif edilenler dışında herhangi bir yeni oluşmuş travmatik değişim, kesici ... Haricen başkaca travmatik ... 3-Vücudunda ölümüne müessir travmatik ... İleriki zamanlarda kızım hamile kaldı. ... Oysa kızımın boğazı etrafında başka morluk bulunmamaktadır. ... Fakat [H.] telefonda [D.ye] 'Gelme, gelirsen seni gebertirim' diye konuşunca [D.yi] yanına gitmesinden ... Tıp Kurumu Antalya Grup Başkanlığı Morg İhtisas Dairesinin raporuna göre, vücudunda ölümüne müessir travmati"
"436","Anayasa","Bölüm","2016/9123","2021/","2021-05-18","U3Y2blFyZnpldHRPTFBWMktrNEd1SUhqRFQ3NVk1UFU","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/U3Y2blFyZnpldHRPTFBWMktrNEd1SUhqRFQ3NVk1UFU","travma, travmanın, gebeler, travmaya","Daha sonra yapılan görüşmeler ve uygulanan MMPI ve Roschach testleri sonucunda yaklaşık 6-7 ay önce travma ... Test sonuçlarına ve görüşmelere yansıdığı kadarıyla yaşadığı travmanın cinsel içerikli şiddet içeren ... bir travma olduğu ve hastamız üzerinde kalıcı hasar bıraktığı gözlenmiştir. ... arkadaşım olan [M.K.]yla birlikte kendisinin daveti üzerine Fethiye Saklıkent yolu üzerinde bulunan gebeler ... Burada bir süre kaldıktan sonra oradan Gebeler kaplıcasına doğru yola çıktık. ... Saat 11:00"
"437","Yargıtay","Ceza Genel Kurulu","2019/614","2021/199","2021-05-04","cE1lMms0dDNYZXpNYlFWS3k5NkluczdsVWVUbkRDRzE","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/cE1lMms0dDNYZXpNYlFWS3k5NkluczdsVWVUbkRDRzE","boğazını, boğaz, travmatik, hamile, hamilelik, hamilelikten","başlamış bilmem ney falan ben de sağlık memuruyum zaten koştum ağzını falan sildim ondan sonra kusmuk boğazını ... tartıldığı, beyin-beyincik yüzeyi ve kesitlerinde konjesyon ve ödem haricinde patoloji görülmediği, ağız-boğaz-boyun ... tartıldığı, beyin-beyincik yüzeyi ve kesitlerinde konjesyon ve ödem haricinde patoloji görülmediği, ağız-boğaz-boyun ... Grup Başkanlığında yapılan otopside herhangi bir travmatik lezyon saptanmadığı, alınan organ örneklerinin ... ın hamile eşi, ... ve ... geldile"
"438","Yargıtay","Hukuk Genel Kurulu","2017/2-1886","2021/510","2021-04-20","SnFacDk2aFIxUHc4NTA4TCtMOUFJUVB3S1B1Ty9DdlI","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/SnFacDk2aFIxUHc4NTA4TCtMOUFJUVB3S1B1Ty9DdlI","hamilelik, hamile, hamileliğine, travmatik, gebelikle, gebeliğin",", ortak çocuklarının bulunmadığını, davalının birlik görevlerini yerine getirmediğini, müvekkilinin hamilelik ... dilekçesinde; tüm iddiaları inkârla, davacının halası ile hastaneye gittiğini, akşam geldiğinde hamile ... olduğunu söylediğini, eşinin hamileliğine çok sevindiğini, ... ... ifadesinden davalının bir araya gelme isteğinde bulunarak yaşanan bütün olayları affettiği, yaşanan travmatik ... bıraktığı, davacının annesinin Sivas’ta yaşadığı, kadın eşin evlendikten kısa bir süre sonra hamil"
"439","Danıştay","Daire","2019/6614","2021/1477","2021-03-30","U0FKUFJlam9KcGJxcnUwQXBRYkFQdy9HSDY5UHVYTFk","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/U0FKUFJlam9KcGJxcnUwQXBRYkFQdy9HSDY5UHVYTFk","travmaya, travma, travmanın, boğaz","İhtisas Kurulunun raporunda; ""BOS rinorenin davacının operasyon öncesi ya da operasyon sonrası travmaya ... 'nin rinolojik cerrahi sonrası olduğu, davacının öyküsünde ameliyat öncesi ya da sonrası böyle bir travma ... Araştırma Hastanesi Tıp Dergisi sayfa 204-305-206) ""BOS rinoreli vakalarının %96'sının etyolojik nedeninin travma ... yapıldığının görüldüğü, dolayısıyla hastanın yaşadığı beyin omurilik sıvısı akıntısının mutlak suretle bir travma ... sonucu oluşacağı ve bu travmanın da %80 kaza s"
"440","Yargıtay","Ceza Genel Kurulu","2016/624","2021/150","2021-03-30","ZU1xdEl5TC84Sk4xdDFQK0s4dzAzWGVXdGdCUkM1Nk8","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/ZU1xdEl5TC84Sk4xdDFQK0s4dzAzWGVXdGdCUkM1Nk8","travmatik, boğazının, boğazına","durumunun iyi olduğunun, yaralanmasının basit bir tıbbi müdahale ile giderilebilir nitelikte olduğunun, travmatik ... laserasyon, ağız kenarı solda 2x3 cm'lik boyutunda sıyrık, sol elde çok sayıda sıyrık olduğunun, başka travmatik ... nin yaralandığını, boğazının sol kısmından kan geldiğini gördüğünü, mağdur ...' ... nin boğazına ve karnına vurduğunu, aracına binerek tedavisini yaptırmak üzere ..."
"441","Danıştay","Daire","2019/7624","2021/1437","2021-03-29","OURrVGtTTlFjSndpekdndG5lZ252RTNUR2hoZVFqNXY","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/OURrVGtTTlFjSndpekdndG5lZ252RTNUR2hoZVFqNXY","travmatoloji, boğaz","başlığı altında yer alan işlemlerin, fiziksel tıp veya rehabilitasyon uzman hekimleri dışında ortopedi ve travmatoloji ... , nöroloji, spor hekimliği, tıbbi ekoloji ve hidroklimatoloji, beyin cerrahisi, kulak burun ve boğaz ... işlemlerin ilgili uzmanlık dallarına göre fiziksel tıp ve rehabilitasyon uzman hekimleri dışında ortopedi, travmatoloji ... rehabilitasyon uzman hekimleri olmayıp bunun dışında kendi uzmanlık alanları ile ilgili ortopedi ve travmatoloji ... , nöroloji, spor hekimliği, tıb"
"442","Yargıtay","Ceza Genel Kurulu","2017/776","2021/134","2021-03-23","L0YzWkJsdktuZjZLMlZjZ0pPQ1JNQkVWbVBzZUh1Ri8","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/L0YzWkJsdktuZjZLMlZjZ0pPQ1JNQkVWbVBzZUh1Ri8","travma, travmanın, hamile","düzenlenen raporda; kendisinde olaydan kaynaklanmış ve ruh sağlığını bozacak mahiyet ve derecede olan travma ... düzenlenen sosyal inceleme raporunda; mağdurenin ifadelerinin anlaşılır, konuşmasının düzgün olduğu, yaşanan travmanın ... etkilerinin azalarak sürdüğü ve zaman zaman uyku problemi yaşadığı, travma sonrası özellikle karşı cinse ... , zor zamanlarında ona yardımcı olduğunu, sanıktan böyle bir olay beklemediğini, mağdurenin evli ve hamile"
"443","Yargıtay","Ceza Dairesi","2020/3401","2021/4756","2021-03-22","NG1YdUovNjhDYWx1VkhET25NbllITm5PcFNuUE8wN0Y","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/NG1YdUovNjhDYWx1VkhET25NbllITm5PcFNuUE8wN0Y","hamile, travmasına","nın ikinci kez hamile kaldığı, sanığın 27/01/2016 günü maktulü darp etmesi üzerine, bilinci kapalı bir ... sanığın maktulü yeniden kuvvetli bir şekilde darp ettiği, acilen hastaneye kaldırılan maktulün, künt kafa travmasına"
"444","Yargıtay","Ceza Genel Kurulu","2020/126","2021/130","2021-03-18","YjRqM0RyalNSWEVkMUF5aUxuK1dtTE5MNzZBMnlKRGQ","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/YjRqM0RyalNSWEVkMUF5aUxuK1dtTE5MNzZBMnlKRGQ","travmatik, boğazını","söylediği, mağdurenin litotomi pozisyonunda yapılan hymen muayenesinde; genital bölgede herhangi bir travmatik ... tonusunun doğal olduğu, anal yolla ırza geçme sonrası görülmesi beklenen ekimoz ve mukoza yırtığı gibi travmatik ... ile hile, tehdit ya da rıza gibi nedenlerle direncin kırıldığı durumlarda, anal sfinkterin çok büyük travmatik ... yapılan anal muayenesinde herhangi bir özellik görülmemesinin doğal olduğu, mağdurenin haricen vücudunda travmatik ... gitmeye karar verdim."" dediğini, b"
"445","Danıştay","Daire","2016/5664","2021/1533","2021-03-12","emE3Y0lSMHhSZDgySTZwTVJ0UmFuZkFFWHEyd3ZuZEk","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/emE3Y0lSMHhSZDgySTZwTVJ0UmFuZkFFWHEyd3ZuZEk","gebelik, travmatik, hamile","Teşkilatı Sağlık Şartları Yönetmeliği'nin EK-3-V-A maddesinin 1. fıkrasının son cümlesinde düzenlenen ""Gebelik ... DAVACININ İDDİALARI : Davacı vekili tarafından, müvekkilinde bulunan gebelik halinin geçici bir durum ... Devlet Hastanesinden aldırılan sağlık raporunda, ""Teşhis: 13 hafta 3 gün gebelik Karar: ""İlgili Okul ... Öğrenci Adayı Olamaz"" kararı verildiği, hipertiroidi ve gebelik durumu yönünden, Ankara Atatürk Eğitim ... Devlet Hastanesinden aldırılan sağlık raporunda, ""Teşhis: 13 hafta "
"446","Yargıtay","Ceza Dairesi","2020/1264","2021/2023","2021-03-11","U3p5cGhwc0tQVUUvRWw4ZHZyU1ZxZDZzTFk3ZXhDODg","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/U3p5cGhwc0tQVUUvRWw4ZHZyU1ZxZDZzTFk3ZXhDODg","boğazından, travmatik","suç tarihinden önce tanışıp, ara ara evine gelen on dört yaşındaki mağdur ... evinde bulunduğu sırada boğazından ... tarihli doktor raporunda mağdurun yapılan muayenesinde anal pililerin düzenli olup, eski veya yeni travmatik"
"447","Yargıtay","Ceza Genel Kurulu","2017/3-1066","2021/85","2021-03-09","ZWxKTEg5VVgzSS9BbHp0SEgxVTkzbUs4VjJ2bUkvKys","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/ZWxKTEg5VVgzSS9BbHp0SEgxVTkzbUs4VjJ2bUkvKys","travma, boğazından, boğazına, boğazında, boğazını","kesi izi olduğu görülmüş, Adli Tıp Kurumu raporunun ayrıntılı incelenmesinde, sanığın müştekiyi küt travma ... ile sonuçlanacak şekilde yaraladığı, ayrıca kolundan ve boğazından bıçakla yaraladığı, yaraların çene ... başladıklarını, tartışma sırasında Musa'nın kendisini darbettiğini, eline aldığı ekmek bıçağını boğazına ... dayadığını, bileğine bıçağın ucunu batırdığını, vücudunun çeşitli yerlerinde morluklar, boğazında ve ... bastırıp ""Seni öldüreceğim"" dediğini, mutfaktan aldığı ekmek bıçağıyl"
"448","Yargıtay","Ceza Genel Kurulu","2019/1-542","2021/42","2021-02-18","emp2MWhtejFUcWVCMTVWcitLbHZzalgxdXVMWE84RCs","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/emp2MWhtejFUcWVCMTVWcitLbHZzalgxdXVMWE84RCs","travması, boğazına","bulgularına göre; ika edilen aletin bir kenarının keskin, diğer kenarının küt nitelikte olduğu, küt kafa travması ... ’ın elindeki kabloyu maktulün boğazına geçirip boğmak için hamle yaptığını ancak kablonun maktulün"
"449","Yargıtay","Ceza Dairesi","2020/1204","2021/662","2021-01-26","RW10R1B5eW5KQUdkNVpFNGdESm9oWk9kT0VNZWppNmc","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/RW10R1B5eW5KQUdkNVpFNGdESm9oWk9kT0VNZWppNmc","travmatik, gebe","2019 tarihli rapora göre müştekilerin vücudunda tıbben yaralanma olarak değerlendirilebilecek harici travmatik ... , c) Konuşmasında sürekli zorluğa, d) Yüzünde sabit ize, e) Yaşamını tehlikeye sokan bir duruma, f) Gebe ... yitirilmesine, c) Konuşma ya da çocuk yapma yeteneklerinin kaybolmasına, d) Yüzünün sürekli değişikliğine, e) Gebe ... hassasiyet bulgusu dışında, kişinin vücudunda tıbben yaralanma olarak değerlendirilebilecek objektif harici travmatik ... 21.10.2019 tarihli raporlarda vücut"
"450","Yargıtay","Ceza Dairesi","2019/3783","2021/511","2021-01-21","a25GZ0hZdlk4Y3A1T1JmbGQwUzhBc1UwUFlrc21XUzc","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/a25GZ0hZdlk4Y3A1T1JmbGQwUzhBc1UwUFlrc21XUzc","boğazından, travmatik",".'nın hasta olduğunu söylemesi üzerine kontrol ettiğinde boğazından hırlama sesleri duyduğu, saat ... otopsi raporunda bulunan veriler değerlendirildiğinde, otopsisinde kişinin vücudunda dış muayenede travmatik ... beyin doku harabiyeti, beyin kanaması, iç organ ve büyük damar lezyonu tarif edilmediğine göre kişinin travmatik ... ağladığını sorduğu, annesinin bebeğin hasta olduğunu söylediği, kendisinin bebeğin yanına gidip baktığında boğazından"
"451","Yargıtay","Ceza Genel Kurulu","2020/346","2020/527","2020-12-17","dEJuQUtmQUN3dHZSSHJiVkZrdFpWenVwYjc2WmEzeU4","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/dEJuQUtmQUN3dHZSSHJiVkZrdFpWenVwYjc2WmEzeU4","travması, boğazında, geberse","bölgesindeki yaraların künt bir cisimle doğrudan vurulmak suretiyle meydana geldiği, ölümün künt kafa travması ... birikintisi üzerine düşmüş vaziyette olduğu, gözlüğünün göğsünün üzerinde, gözlüğe bağlı siyah ipin boğazında ... öldürülmesi hususunda konuşmadıklarını, sanık ...’in bazen kayınvalidesiyle ilgili “Ölse de kurtulsak, geberse ... sırtüstü yatar vaziyette bulunduğu, maktulün başına küt bir cisim ile vurulmak suretiyle darbedilerek kafa travması"
"452","Danıştay","Daire","2019/6254","2020/6128","2020-12-14","SlVXOElTNEFZNExQQVE3UEpIUktrZEpYb1N0V3padzY","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/SlVXOElTNEFZNExQQVE3UEpIUktrZEpYb1N0V3padzY","boğazlıyan, travmalar","in 08/07/2007 tarihinde solunum sıkıntısı şikayeti ile getirildiği Boğazlıyan Devlet Hastanesinde geç ... in 08/07/2007 tarihinde solunum sıkıntısı şikayetiyle öğle saatlerinde Boğazlıyan Devlet Hastanesine ... değerlendirildiğinde, bebeğin sendromik bebek, sık akciğer enfeksiyonu nedeniyle takip edildiği, olay günü başvurduğu Boğazlıyan ... sebepler ile çocuğunu ve kardeşini idarenin ağır hizmet kusuru sonucu kaybeden davacıların, yaşadığı ağır travmalar ... in 08/07/2007 tarihinde solunum sıkı"
"453","Yargıtay","Ceza Dairesi","2020/1531","2020/3275","2020-12-09","VzhkMitMN3Z2Q1l2enNSMWVGSzMrUmpzcTE0SXRkTGE","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/VzhkMitMN3Z2Q1l2enNSMWVGSzMrUmpzcTE0SXRkTGE","travmasına, gebertirim","içeriğine göre görevlilere ""beni darp ediyordu, ben de kaçtım"" dediği, ATK raporuna göre genel beden travmasına ... nın beyanlarından sanığın maktule gebertirim lan şeklinde söz söylediği sabit olmuştur. ... Maktulün 5. kat balkondan aşağıya atlaması tamamen sanığın şiddetine ve gebertirim lan şeklinde beyanlarına"
"454","Anayasa","Bölüm","2017/39945","2020/","2020-12-03","K0tuZFJ3UEs5ZDFnTmZQU1FyUlJHZDJDR2tHUFFIL2U","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/K0tuZFJ3UEs5ZDFnTmZQU1FyUlJHZDJDR2tHUFFIL2U","travmatik, geberteceğim, travma, travmaya","Raporda başvurucunun bedeninde yeni travmatik bir bulguya rastlanmadığı belirtilmiş, ayrıca raporun şik ... Sen kimsin lan, bana işimi mi öğretiyorsun' diyerek, kendisini tartakladığını, daha sonra da 'Geberteceğim ... karakterize müsküler strain (kas yırtılması) görüldüğü; muayene ve görüntüleme bulgularının aktarılan künt travma ... - Başvuranın yaşadığı travmatik ... - Kişinin öyküde aktardaki travmatik ... değerlendirilen fiziksel ve ruhsal bulguların özellikleri; kişinin bu süreçte insan el"
